8.50364 -1906.51 -1668.2 -1429.88 -1191.57 -953.256 -714.942 -476.628 -238.314 0 238.314 476.628 714.942 953.256 1191.57 1429.88 1668.2 1906.51 
8.50375 -1906.54 -1668.22 -1429.9 -1191.59 -953.27 -714.952 -476.635 -238.317 0 238.317 476.635 714.952 953.27 1191.59 1429.9 1668.22 1906.54 
8.50387 -1906.57 -1668.24 -1429.92 -1191.6 -953.283 -714.962 -476.641 -238.321 0 238.321 476.641 714.962 953.283 1191.6 1429.92 1668.24 1906.57 
8.50399 -1906.59 -1668.27 -1429.94 -1191.62 -953.296 -714.972 -476.648 -238.324 0 238.324 476.648 714.972 953.296 1191.62 1429.94 1668.27 1906.59 
8.50411 -1906.62 -1668.29 -1429.96 -1191.64 -953.309 -714.982 -476.655 -238.327 0 238.327 476.655 714.982 953.309 1191.64 1429.96 1668.29 1906.62 
8.50422 -1906.64 -1668.31 -1429.98 -1191.65 -953.322 -714.992 -476.661 -238.331 0 238.331 476.661 714.992 953.322 1191.65 1429.98 1668.31 1906.64 
8.50434 -1906.67 -1668.34 -1430 -1191.67 -953.335 -715.001 -476.668 -238.334 0 238.334 476.668 715.001 953.335 1191.67 1430 1668.34 1906.67 
8.50446 -1906.7 -1668.36 -1430.02 -1191.69 -953.348 -715.011 -476.674 -238.337 0 238.337 476.674 715.011 953.348 1191.69 1430.02 1668.36 1906.7 
8.50457 -1906.72 -1668.38 -1430.04 -1191.7 -953.362 -715.021 -476.681 -238.34 0 238.34 476.681 715.021 953.362 1191.7 1430.04 1668.38 1906.72 
8.50469 -1906.75 -1668.41 -1430.06 -1191.72 -953.375 -715.031 -476.687 -238.344 0 238.344 476.687 715.031 953.375 1191.72 1430.06 1668.41 1906.75 
8.50481 -1906.78 -1668.43 -1430.08 -1191.73 -953.388 -715.041 -476.694 -238.347 0 238.347 476.694 715.041 953.388 1191.73 1430.08 1668.43 1906.78 
8.50493 -1906.8 -1668.45 -1430.1 -1191.75 -953.401 -715.051 -476.701 -238.35 0 238.35 476.701 715.051 953.401 1191.75 1430.1 1668.45 1906.8 
8.50504 -1906.83 -1668.47 -1430.12 -1191.77 -953.414 -715.061 -476.707 -238.354 0 238.354 476.707 715.061 953.414 1191.77 1430.12 1668.47 1906.83 
8.50516 -1906.85 -1668.5 -1430.14 -1191.78 -953.427 -715.071 -476.714 -238.357 0 238.357 476.714 715.071 953.427 1191.78 1430.14 1668.5 1906.85 
8.50528 -1906.88 -1668.52 -1430.16 -1191.8 -953.44 -715.08 -476.72 -238.36 0 238.36 476.72 715.08 953.44 1191.8 1430.16 1668.52 1906.88 
8.5054 -1906.91 -1668.54 -1430.18 -1191.82 -953.454 -715.09 -476.727 -238.363 0 238.363 476.727 715.09 953.454 1191.82 1430.18 1668.54 1906.91 
8.50551 -1906.93 -1668.57 -1430.2 -1191.83 -953.467 -715.1 -476.733 -238.367 0 238.367 476.733 715.1 953.467 1191.83 1430.2 1668.57 1906.93 
